frequency,monetary,recency,bid ratio
1,2,1,0.3917135880571065
1,3,1,0.8665447732253304
1,1,1,0.43429621968106646
2,1,2,2.6808108213687944
2,3,2,4.973726941878381
2,2,1,0.0
2,3,3,6.558450971682073
2,1,1,0.0
2,2,3,6.769602021623326
3,1,3,27.119781935869923
2,2,2,0.27595736527064585
3,3,3,11.485169687380528
2,1,3,1.6205603417272438
3,2,2,5.4639558323587885
2,3,1,2.4373838469000186
3,2,3,54.87222966810817
3,1,2,8.642831370629255
3,2,1,0.0
3,3,2,13.691509695667566
1,1,2,0.7806140308238758
1,2,2,0.7052287620865537
1,3,2,1.1949907970500613
1,1,3,0.8063714991055705
1,2,3,0.904288009325555
1,3,3,1.3632487504469097
